Country Name,Gini Index (10Y AVG)
Hungary,30.244444444444444
IBRD only,
IDA & IBRD total,
IDA total,
IDA blend,
Indonesia,38.83636363636363
IDA only,
Isle of Man,
India,34.31428571428571
Not classified,
Ireland,31.34444444444445
"Iran, Islamic Rep.",35.67
Iraq,
Iceland,26.660000000000004
Israel,38.79999999999999
Italy,35.1
Jamaica,37.900000000000006
Jordan,
Japan,32.9
Kazakhstan,27.7
Kenya,38.56666666666667
Kyrgyz Republic,28.211111111111116
Cambodia,
Kiribati,27.8
St. Kitts and Nevis,
"Korea, Rep.",31.299999999999997
Kuwait,
Latin America & Caribbean (excluding high income),
Lao PDR,38.8
Lebanon,
Liberia,34.25
Libya,
St. Lucia,43.7
Latin America & Caribbean,
Least developed countries: UN classification,
Low income,
Liechtenstein,
Sri Lanka,38.5
Lower middle income,
Low & middle income,
Lesotho,44.9
Late-demographic dividend,
Lithuania,36.644444444444446
Luxembourg,33.111111111111114
Latvia,34.922222222222224
"Macao SAR, China",
St. Martin (French part),
Morocco,39.5
Monaco,
Moldova,26.487499999999997
Madagascar,
Maldives,30.3
Middle East & North Africa,
Mexico,45.98
Marshall Islands,35.5
Middle income,
North Macedonia,34.6
Mali,35.85
Malta,29.575
Myanmar,34.4
Middle East & North Africa (excluding high income),
Montenegro,37.15555555555556
Mongolia,32.1
Northern Mariana Islands,
Mozambique,52.25
Mauritania,32.3
Mauritius,36.8
Malawi,41.6
Malaysia,41.075
North America,
Namibia,59.1
New Caledonia,
Niger,34.833333333333336
Nigeria,35.5
Nicaragua,46.2
Netherlands,27.844444444444445
Norway,27.357142857142858
Nepal,
Nauru,
New Zealand,
OECD members,
Oman,
Other small states,
Pakistan,30.133333333333336
Panama,50.2111111111111
Peru,42.53
Philippines,42.53333333333334
Palau,
Papua New Guinea,
Poland,30.511111111111113
Pre-demographic dividend,
Puerto Rico,
"Korea, Dem. People's Rep.",
Portugal,34.65555555555556
Paraguay,46.58
West Bank and Gaza,33.7
Pacific island small states,
Post-demographic dividend,
French Polynesia,
Qatar,
Romania,35.36666666666666
Russian Federation,37.962500000000006
Rwanda,44.400000000000006
South Asia,
Saudi Arabia,
Sudan,34.2
Senegal,37.25
Singapore,
Solomon Islands,
Sierra Leone,35.7
El Salvador,39.86666666666667
San Marino,
Somalia,
Serbia,37.01111111111111
Sub-Saharan Africa (excluding high income),
South Sudan,44.1
Sub-Saharan Africa,
Small states,
Sao Tome and Principe,40.7
Suriname,39.2
Slovak Republic,25.066666666666666
Slovenia,24.844444444444445
Sweden,29.200000000000003
Eswatini,54.6
Sint Maarten (Dutch part),
Seychelles,39.45
Syrian Arab Republic,26.6
Turks and Caicos Islands,
Chad,37.45
East Asia & Pacific (IDA & IBRD countries),
Europe & Central Asia (IDA & IBRD countries),
Togo,41.166666666666664
Thailand,36.14444444444444
Tajikistan,34.0
Turkmenistan,
Latin America & the Caribbean (IDA & IBRD countries),
Timor-Leste,28.7
Middle East & North Africa (IDA & IBRD countries),
Tonga,30.3
South Asia (IDA & IBRD),
Sub-Saharan Africa (IDA & IBRD countries),
Trinidad and Tobago,
Tunisia,33.25
Turkiye,43.42
Tuvalu,
Tanzania,40.5
Uganda,42.75
Ukraine,25.425
Upper middle income,
Uruguay,40.09
United States,40.900000000000006
Uzbekistan,31.2
St. Vincent and the Grenadines,
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,35.739999999999995
Vanuatu,32.3
World,
Samoa,38.7
Kosovo,27.160000000000004
"Yemen, Rep.",36.7
South Africa,63.0
Zambia,53.7
Zimbabwe,47.3
